"","x"
"1",34
"2",51
"3",115
"4",189
"5",72
"6",142
"7",162
"8",48
"9",133
"10",190
"11",178
"12",217
"13",175
"14",197
"15",44
"16",84
"17",35
"18",88
"19",77
"20",91
"21",90
"22",171
"23",61
"24",26
"25",33
"26",38
"27",195
"28",199
"29",216
"30",105
"31",71
"32",46
"33",118
"34",27
"35",220
"36",59
"37",139
"38",224
"39",211
"40",47
"41",163
"42",19
"43",51
"44",104
"45",107
"46",221
"47",194
"48",212
"49",222
"50",158
"51",24
"52",113
"53",97
"54",129
"55",94
"56",202
"57",82
"58",174
"59",177
"60",126
"61",200
"62",67
"63",96
"64",111
"65",45
"66",192
"67",56
"68",136
"69",3
"70",98
"71",151
"72",139
"73",57
"74",180
"75",79
"76",29
"77",25
"78",28
"79",20
"80",52
"81",168
"82",14
"83",75
"84",130
"85",138
"86",30
"87",112
"88",169
"89",150
"90",58
"91",43
"92",32
"93",86
"94",179
"95",144
"96",109
"97",83
"98",40
"99",215
"100",4
"101",183
"102",74
"103",1
"104",128
"105",87
"106",188
"107",33
"108",100
"109",201
"110",117
"111",27
"112",124
"113",39
"114",156
"115",81
"116",124
"117",112
"118",119
"119",36
"120",114
"121",54
"122",123
"123",147
"124",173
"125",193
"126",69
"127",95
"128",7
"129",181
"130",11
"131",166
"132",31
"133",28
"134",15
"135",184
"136",9
"137",157
"138",125
"139",41
"140",8
"141",152
"142",95
"143",78
"144",63
"145",205
"146",18
"147",11
"148",174
"149",10
"150",172
"151",149
"152",207
"153",223
"154",66
"155",122
"156",13
"157",23
"158",218
"159",64
"160",208
"161",120
"162",161
"163",101
"164",140
"165",114
"166",186
"167",16
"168",146
"169",85
"170",213
"171",50
"172",60
"173",137
"174",37
"175",188
"176",42
"177",203
"178",159
"179",2
"180",49
"181",191
"182",92
"183",93
"184",214
"185",153
"186",53
"187",138
"188",148
"189",206
"190",136
"191",132
"192",154
"193",193
"194",160
"195",167
"196",70
"197",143
"198",103
"199",135
"200",116
"201",62
"202",209
"203",100
"204",5
"205",151
"206",204
"207",203
"208",12
"209",68
"210",210
"211",198
"212",121
"213",185
"214",164
"215",134
"216",154
"217",22
"218",65
"219",89
"220",55
"221",73
"222",155
"223",219
"224",102
"225",106
"226",187
"227",68
"228",170
"229",218
"230",176
"231",17
"232",80
"233",182
"234",158
"235",21
"236",127
"237",165
"238",212
"239",141
"240",205
"241",108
"242",0
"243",131
"244",110
"245",196
"246",76
"247",99
"248",22
"249",145
"250",6
"251",303
"252",430
"253",400
"254",409
"255",296
"256",228
"257",448
"258",386
"259",347
"260",301
"261",439
"262",305
"263",275
"264",352
"265",273
"266",229
"267",256
"268",298
"269",421
"270",422
"271",407
"272",369
"273",294
"274",225
"275",328
"276",381
"277",289
"278",337
"279",327
"280",242
"281",408
"282",308
"283",293
"284",441
"285",419
"286",398
"287",279
"288",283
"289",442
"290",226
"291",433
"292",417
"293",255
"294",418
"295",432
"296",391
"297",246
"298",411
"299",334
"300",237
"301",249
"302",380
"303",318
"304",350
"305",329
"306",322
"307",356
"308",270
"309",316
"310",297
"311",401
"312",330
"313",263
"314",436
"315",362
"316",392
"317",299
"318",410
"319",239
"320",272
"321",428
"322",293
"323",290
"324",333
"325",287
"326",253
"327",236
"328",420
"329",274
"330",254
"331",379
"332",446
"333",257
"334",317
"335",324
"336",252
"337",261
"338",227
"339",368
"340",265
"341",244
"342",288
"343",382
"344",431
"345",434
"346",376
"347",282
"348",440
"349",435
"350",445
"351",423
"352",361
"353",412
"354",393
"355",412
"356",389
"357",278
"358",251
"359",332
"360",247
"361",348
"362",416
"363",243
"364",372
"365",320
"366",383
"367",276
"368",387
"369",326
"370",370
"371",438
"372",250
"373",363
"374",349
"375",341
"376",358
"377",312
"378",351
"379",419
"380",406
"381",241
"382",295
"383",398
"384",258
"385",256
"386",336
"387",321
"388",246
"389",269
"390",245
"391",413
"392",286
"393",437
"394",342
"395",366
"396",319
"397",425
"398",426
"399",442
"400",313
"401",280
"402",444
"403",233
"404",366
"405",235
"406",323
"407",436
"408",281
"409",325
"410",377
"411",248
"412",340
"413",240
"414",278
"415",311
"416",374
"417",310
"418",284
"419",344
"420",311
"421",397
"422",230
"423",375
"424",300
"425",231
"426",414
"427",234
"428",345
"429",404
"430",402
"431",384
"432",297
"433",339
"434",268
"435",360
"436",405
"437",229
"438",277
"439",267
"440",357
"441",259
"442",271
"443",396
"444",364
"445",415
"446",354
"447",266
"448",312
"449",403
"450",386
"451",394
"452",331
"453",292
"454",353
"455",373
"456",273
"457",263
"458",359
"459",371
"460",343
"461",390
"462",444
"463",443
"464",411
"465",385
"466",226
"467",395
"468",306
"469",365
"470",388
"471",291
"472",395
"473",307
"474",232
"475",346
"476",260
"477",427
"478",370
"479",262
"480",304
"481",309
"482",338
"483",367
"484",302
"485",447
"486",264
"487",355
"488",429
"489",314
"490",309
"491",379
"492",285
"493",449
"494",335
"495",424
"496",413
"497",378
"498",399
"499",315
"500",238
